Item,Price,Quantity,Total,Link
F693ZZ Bearing 50 Pack,34.22,1,34.22,https://www.aliexpress.com/item/2251832647323291.html?
GT2 Pulley 20t,2.39,4,9.56,https://www.aliexpress.com/item/3256809642953416.html?
Brass Bushing,3.67,2,7.34,https://www.aliexpress.com/item/3256809117433251.html?
E3D Chimera,30.92,1,30.92,https://www.aliexpress.com/item/2251832513522162.html?
SKR PICO,31.02,1,31.02,https://www.aliexpress.com/item/3256806852052563.html?
GT2 Belt,3.75,1,3.75,https://www.aliexpress.com/item/3256808277664718.html?spm=a2g0o.cart.0.0.7fda38daxLFnl0&mp=1&pdp_npi=6%40dis%21USD%21USD%203.75%21USD%203.75%21%21USD%203.75%21%21%21%402103212317734475922698455e0bfb%2112000045244535787%21ct%21US%216278878705%21%211%210%21&_gl=1*8kppey*_gcl_au*MzAzNzI2NTM3LjE3Njg5MjE3NTQ.*_ga*NzYwMTI2Mjg1LjE3NzI3NjM3MDM.*_ga_VED1YSGNC7*czE3NzM0NDU2MTckbzIkZzEkdDE3NzM0NDc2MDgkajYwJGwwJGgw
Silicone Spacer,3.56,1,3.56,https://www.aliexpress.com/item/3256803142657275.html?spm=a2g0o.cart.0.0.7fda38daxLFnl0&mp=1&pdp_npi=6%40dis%21USD%21USD%203.56%21USD%203.56%21%21USD%203.56%21%21%21%402103212517734477737674685e8441%2112000039208075787%21ct%21US%216278878705%21%211%210%21&_gl=1*7i0jy7*_gcl_au*MzAzNzI2NTM3LjE3Njg5MjE3NTQ.*_ga*NzYwMTI2Mjg1LjE3NzI3NjM3MDM.*_ga_VED1YSGNC7*czE3NzM0NDU2MTckbzIkZzEkdDE3NzM0NDc2MDgkajYwJGwwJGgw
LM8UU ,3.57,4,14.28,https://www.aliexpress.com/item/3256807089520694.html?spm=a2g0o.cart.0.0.7fda38daxLFnl0&mp=1&pdp_npi=6%40dis%21USD%21USD%203.68%21USD%203.57%21%21USD%203.46%21%21%21%402103212517734478290805793e8441%2112000040032893711%21ct%21US%216278878705%21%214%210%21&_gl=1*7i0jy7*_gcl_au*MzAzNzI2NTM3LjE3Njg5MjE3NTQ.*_ga*NzYwMTI2Mjg1LjE3NzI3NjM3MDM.*_ga_VED1YSGNC7*czE3NzM0NDU2MTckbzIkZzEkdDE3NzM0NDc2MDgkajYwJGwwJGgw
8mm 125mm Rod,5.29,4,21.16,https://www.aliexpress.com/item/3256803428583487.html?spm=a2g0o.cart.0.0.7fda38daxLFnl0&mp=1&pdp_npi=6%40dis%21USD%21USD%205.29%21USD%205.29%21%21USD%205.29%21%21%21%402103212517734478717196748e8441%2112000026501015350%21ct%21US%216278878705%21%214%210%21&_gl=1*qk49g*_gcl_au*MzAzNzI2NTM3LjE3Njg5MjE3NTQ.*_ga*NzYwMTI2Mjg1LjE3NzI3NjM3MDM.*_ga_VED1YSGNC7*czE3NzM0NDU2MTckbzIkZzEkdDE3NzM0NDc2MDgkajYwJGwwJGgw
6mm 200mm Rod,3.01,2,6.02,https://www.aliexpress.com/item/3256805290944526.html?spm=a2g0o.cart.0.0.858638daQf92gW&mp=1&pdp_npi=6%40dis%21USD%21USD%203.01%21USD%203.01%21%21USD%203.01%21%21%21%402103212517734479071417418e8441%2112000033239843748%21ct%21US%216278878705%21%212%210%21&_gl=1*1or9kzq*_gcl_au*MzAzNzI2NTM3LjE3Njg5MjE3NTQ.*_ga*NzYwMTI2Mjg1LjE3NzI3NjM3MDM.*_ga_VED1YSGNC7*czE3NzM0NDU2MTckbzIkZzEkdDE3NzM0NDc5MDgkajU4JGwwJGgw
8mm 200mm Rod,3.71,4,14.84,https://www.aliexpress.com/item/3256804855023250.html?spm=a2g0o.cart.0.0.7fda38daxLFnl0&mp=1&pdp_npi=6%40dis%21USD%21USD%203.91%21USD%203.71%21%21USD%203.71%21%21%21%402103212517734478717196748e8441%2112000031424484626%21ct%21US%216278878705%21%214%210%21&_gl=1*1or9kzq*_gcl_au*MzAzNzI2NTM3LjE3Njg5MjE3NTQ.*_ga*NzYwMTI2Mjg1LjE3NzI3NjM3MDM.*_ga_VED1YSGNC7*czE3NzM0NDU2MTckbzIkZzEkdDE3NzM0NDc5MDgkajU4JGwwJGgw
HGX Lite Extruder,10.75,2,21.5,https://www.aliexpress.us/item/3256808598360212.html?spm=a2g0o.cart.0.0.7c6a38daHXF4sa&mp=1&pdp_npi=6%40dis%21USD%21USD%2010.75%21USD%2010.75%21%21USD%2010.75%21%21%21%402101f11417735431620582990e1c0e%2112000046655651522%21ct%21US%216278878705%21%211%210%21&_gl=1*1624mxy*_gcl_au*MzAzNzI2NTM3LjE3Njg5MjE3NTQ.*_ga*NzYwMTI2Mjg1LjE3NzI3NjM3MDM.*_ga_VED1YSGNC7*czE3NzM1NDMxNjIkbzYkZzAkdDE3NzM1NDMxNjIkajYwJGwwJGgw&gatewayAdapt=glo2usa
Nema 17,ALREADY OWNED,4,0,N/A
,,,0,
,,,0,
,,,,
,,,TOTAL:,
,,,176.67,
